,REGDATE,HIT,KEYWORD
0,2011-03-07,10799,구제역; 침출수; 양수처리법; 반응벽
1,2011-03-14,10799,사이버 포옹;사이버 커뮤니케이션;허기파자마
2,2011-03-21,15897,원자력발전; 핵연료봉; 원자로; 노심; 사용후핵연료; 방사성 물질
3,2011-03-28,15735,스파이;첩보원;마타하리 암호;제임스 본드;맥가이버 칼;스마트폰;정찰기;바퀴벌레;방사능
4,2011-04-11,19127,곤충독;독;뱀;말벌;장수말벌
5,2011-04-11,20896,백두산;화산;화산폭발;자연재해;음파;음파관측소
6,2011-04-25,11943,슈퍼농산물; 식물유전자; ABCG40; AtABCC1; AtABCC2; AtTDX; ABR1; OSKAT; CBL
7,2011-05-02,47544,LTE; 4세대 이동통신; 4G; 와이브로
8,2011-05-09,32489,공룡;이;화석;DNA 분석
9,2011-05-09,58416,마이야르;아미노산;환원당;향기;냄새
10,2011-05-23,83648,인체 보형물;실리콘;고어텍스;보톡스;필러
11,2011-06-13,16837,레이저;무통주사;약물전달시스템;자성나노캡슐;스마트 고분자;폴리피롤
12,2011-06-27,25368,복사;프린터기;프린트;복사기;형광;형광펜
13,2011-06-27,23816,노화;무성생식;해파리;투리토프시스 누트리쿨라;텔로미어;텔로머라아제
14,2011-07-04,29629,뇌;두뇌;대뇌피질
15,2011-07-11,20705,휴대전화;전자파;신경교종
16,2011-07-18,13350,자외선;광노화;피하지방;주름
17,2011-07-25,11232,TV;텔레비전;스마트 TV;3D TV;편광 안경;셔터 안경
18,2011-08-08,17673,선글라스;자외선 차단; 편광
19,2011-08-22,19082,손;세균;황색포도상구균;손세정제;손소독제
20,2011-08-29,15832,과학이론;낙하속도;열질량이론;관성;
21,2011-09-12,13359,박쥐;비행;털;비막;초음파;TRPV1
22,2011-09-26,20465,윈드시어;바람;비행;양력
23,2011-09-30,21014,톈궁 1호;우주정거장;우주발사체
24,2011-10-10,14935,부탄가스;압력밥솥;기화열
25,2011-10-17,9209,로봇;자폐성 장애;인터랙션 사이언스;캐스퍼;키폰;패로
26,2011-10-21,22681,남성호르몬;CAH;선천성부신과형성증;안드로겐
27,2011-10-31,13407,노벨상;초신성;암흑에너지;빅뱅;준결정
28,2011-11-07,19436,이그노벨상;와사비;원반던지기;하품
29,2011-11-14,34419,거미;거미줄;생체모방;극세사
30,2011-11-21,25370,심해생물;심해아귀;집낙지;번식;번식 전략
31,2011-11-28,45436,수염;털;고양이;바다표범;볏
32,2011-11-28,59705,발명;특허;아이스크림콘;삼각팬티;일회용 밴드;옷핀
33,2011-12-05,15151,뇌;심리학;시간;하루주기성 시계;시간간격 시계
34,2011-12-12,13343,가습;가습기;습도
35,2011-12-19,22108,백색소음;백색음;소음
0,2012-01-02,72690,용;흑룡;2012년
1,2012-01-09,13538,우주식품;우주음식;동결건조
2,2012-01-16,30316,인공지능;로봇;키보;왓슨;CRAB
3,2012-01-23,12197,전통놀이;연날리기;베르누이;양력;항력;윷놀이
4,2012-01-23,7365,우주예보;우주날씨;슈퍼플레어;플레어;태양폭풍;코로나 질량 방출;CME
5,2012-02-13,22127,반려동물;애완동물;개;고양이;애완견
6,2012-02-20,33935,사카린;인공감미료;콘스탄틴 팔베르크
7,2012-02-27,17599,타이타닉;선박;여객선;배;침몰;수밀격벽;수밀구획;격실
8,2012-03-05,13581,시험관 고기;줄기세포;포스트
9,2012-03-12,10903,과학은행;소재은행;세균은행;병원균바이러스은행;한국세포주은행;한국식물DNA은행
10,2012-03-14,10652,파이데이;파이;원주율;π
11,2012-03-19,13914,이산화탄소;인공뼈;탄산무수화효소;탄산화합물;에코프리미엄프로듀스;석면;크리소타일
12,2012-04-02,8574,식물;타감작용;타감물질;갈로탄닌
13,2012-04-23,13322,게임;경쟁;폴드잇;EteRNA
14,2012-05-16,14345,발명;특허;이쑤시개
15,2012-05-21,14293,생물다양성;식물;육종
16,2012-06-20,9154,친환경건축물;에코;태양광
17,2012-06-25,10833,노래;발성;성대;득음
18,2012-07-04,24560,피임;피임약;사전피임약;사후피임약;경구피임약
19,2012-07-09,37578,X-37B;X-15;X비행체;무인우주왕복선;전투기;초음속
20,2012-07-11,22043,식인;식인종;쿠루병
21,2012-07-16,14478,힉스;강입자가속기;CERN;LHC;입자물리학;표준모형
22,2012-08-01,14274,땀;땀샘;아포크린;에크린
23,2012-08-15,30753,다이어트;기초대사량;콜레스테롤;당
24,2012-09-03,29018,통계;통계오류;표본선택편의
25,2012-09-10,29309,뇌;뇌세포;운동;BGF;학습능력
26,2012-09-12,25948,멸종;멸종위기종;지구온난화
27,2012-09-19,10304,태풍;산바;볼라벤;공명
28,2012-10-08,23221,뇌;기억;시냅스
29,2012-10-10,18266,제로칼로리;칼로리;인공감미료;
30,2012-10-15,18484,나로호;우주발사체;나로과학위성;KSLV
31,2012-10-17,22422,이그노벨상;스피치재머;
32,2012-10-29,43610,우유주사;프로포폴;수면마취제;마취제
33,2012-10-31,21333,눈물;안구건조증
34,2012-11-07,23993,극한;우주낙하;비행;키팅어;바움가르트너
35,2012-11-12,27969,불소;불산;플루오린;
36,2012-11-14,50143,임신;정자;난자;배란
37,2012-11-19,29721,날씨;혹한;지구온난화;해빙
38,2012-11-26,46029,늦잠;수면;유전자;생체시계;멜라토닌
39,2012-12-03,16869,감기;독감;인플루엔자;백신;바이러스
40,2012-12-05,15469,보팔;메틸이소시안산;보팔가스
41,2012-12-10,12049,하이브리드;연비;자동차
42,2012-12-12,14912,멸종동물;복원;여우;자연방사;방사
43,2012-12-19,24675,로켓;우주발사체;은하 3호
44,2012-12-31,7369,공생;화학물질;산호;망둑어;흑겨자;기생일벌
0,2013-01-02,42632,건조;각질;수분크림;세라마이드;히알루론산
1,2013-01-09,46151,달력;태양력;율리우스;그레고리;이집트력
2,2013-01-14,102406,소음;소리;주파수
3,2013-01-16,14607,비만;섭식장애;거식증;
4,2013-01-23,14746,애기장대;예쁜꼬마선충;헤지호그
5,2013-02-13,25003,심장박동;카필라노;귀인오류
6,2013-03-06,30717,장기이식;신장이식;면역억제제;사이클로스포린;이종간이식
7,2013-03-11,28636,실신;미주신경성;부교감신경
8,2013-03-20,29695,자외선;자외선차단제;SPF
9,2013-03-25,30709,실데나필;비아그라;미녹시딜;아스피린;부프로피온
10,2013-04-01,17319,산림;나무;숲;솎아베기
11,2013-04-08,15074,광유전학;빛;불안;불안장애;분계선조침대핵
12,2013-04-10,14423,진화;오피오이드;엔도르핀
13,2013-04-17,22703,피부;표피;화장품
14,2013-04-22,25672,베리칩
15,2013-05-06,14362,공기질;공기정화;에어필터
16,2013-05-13,13346,자폐증;생크3;생크2;유전자 치료
17,2013-05-15,16909,치즈;카제인;레닛
18,2013-05-27,14497,담배;폐암;만성폐쇄성폐질환
19,2013-06-10,14548,망분리;전산망;네트워크;해킹
20,2013-06-12,18564,발전어;전기어;전기;막전위
21,2013-07-01,47562,전자파;가전제품;전기장;자기장
22,2013-07-08,24051,모기;유전자;오르코;DEET
23,2013-07-10,27356,석빙고;배산임수;대류;풍욕
24,2013-07-22,16642,증후군;일중독증
25,2013-07-31,130437,다크서클;알레르기 비염;항원
26,2013-08-12,18265,무릎;슬개대퇴증후군;슬개골
27,2013-08-14,59935,살충제;피레스로이드;퍼메트린;알레트린
28,2013-08-26,24222,후쿠시마;원자력;원전;오염수;방사성 물질;내부피폭
29,2013-09-09,10475,심해저;무인로봇;미내로;망간단괴;소나
30,2013-09-11,11073,송편;솔잎;피톤치드
31,2013-09-23,43191,임신;임부
32,2013-09-18,87015,자폐증;서번트증후군;
33,2013-09-30,11114,지진;단층
34,2013-10-02,16277,의사소통;언어
35,2013-10-07,30368,화산;백두산
36,2013-10-09,16557,쇼그렌 증후군;건조증
37,2013-10-14,10817,뇌;뇌파
38,2013-10-16,10590,건강검진
39,2013-11-04,11042,노벨상;노벨화학상;가우시안;참
40,2013-11-13,8615,계절;가을;탈모;우울증
41,2013-11-25,10620,DNA;컴퓨터;나노로봇
42,2013-12-02,8047,복사기;제임스 와트
43,2013-12-04,7515,도청
44,2013-12-09,7906,주파수;전파
45,2013-12-11,11079,스키;마찰력;제설기;무게중심
46,2013-12-18,18221,안면홍조;에스트로겐;스테로이드
47,2013-12-23,53795,온수매트;전기매트;전자파
48,2013-12-30,5575,골디락스;케플러;외계행성
0,2014-01-01,8858,말;프르제발스키;에쿠스
1,2014-01-06,8522,김장;김치;발효
2,2014-01-08,8819,도청;무선인터넷;주파수;통화기록장치
3,2014-01-15,9740,겨울잠;아데노신;T1AM;각성
4,2014-01-22,12903,호르몬;에스트로겐;기초대사량;코르티솔
5,2014-01-27,8696,로봇;구글;유비쿼터스
6,2014-02-10,10840,미세먼지;중금속;중국
7,2014-02-12,11144,스케이트;피겨;스피드;쇼트트랙
8,2014-02-19,10809,도청;통신선;대비책;템페스트
9,2014-02-24,8101,지진;지진광;예지
10,2014-03-03,8281,월요병;새학기증후군;코르티솔
11,2014-03-12,13805,곤충;식량;단백질
12,2014-03-24,15569,운석;소행성;유성
13,2014-04-02,6888,예방접종;감염;치료
14,2014-04-14,6318,돌고래;수족관;생태관광
15,2014-04-16,6581,야구;홈런;스위트 스폿
16,2014-04-23,8315,재난;공포;구조
17,2014-05-05,7854,모기;말라리아;일본뇌염
18,2014-05-14,11184,바나나;파나마병;캐번디시
19,2014-05-21,15518,횡문근융해증;칼륨;마이오글로빈
20,2014-06-02,7408,평형수;수중생물;해양생태계
21,2014-06-09,9213,화상;압력솥;전자레인지;주방;부엌;안전교육
22,2014-06-16,6380,축구장;월드컵;잔디;배수
23,2014-06-18,5676,빛공해;조명;가로등;스마트폰
24,2014-06-30,5145,우주 탐사;소유즈;우주복;우주구명보트
25,2014-07-02,4707,캠핑;텐트;방위
26,2014-07-09,7768,비행기사고;브레이스포지션;안전띠
27,2014-07-16,6161,창조경제;멘토링
28,2014-07-23,7919,저혈압;서맥;빈혈
29,2014-08-04,11726,큰빗이끼벌레;태형동물;생태계
30,2014-08-06,19689,통풍;퓨린;요산
31,2014-08-13,13345,족저근막염;플랫슈즈;플립-플랍
32,2014-09-03,8717,추석;차례;송편
33,2014-09-10,10647,글루텐;밀가루;셀리악병
34,2014-09-17,28187,흰머리;멜라닌;염색
35,2014-09-29,5017,새;까마귀;침팬지
36,2014-10-01,14909,라식;라섹;각막확장;안구건조증
37,2014-10-08,6447,훈민정음;세종 대왕;한글날
38,2014-10-13,11616,물티슈;세트리모늄브로마이드;방부제
39,2014-10-15,8317,녹음;목소리;성대;복식호흡
40,2014-10-22,10256,기억;해마;치매;알츠하이머
41,2014-11-05,5415,녹음;축음기;에디슨
42,2014-11-10,15065,수족냉증;레이노증후군;동맥경화;스트레스
43,2014-11-12,9096,수학능력시험;초콜릿;청심환;커피
44,2014-11-19,5843,비타민워터;무지방;성분;요거트
45,2014-12-01,8063,인터스텔라;웜홀;우주여행
46,2014-12-08,7181,로제타호;혜성;필레
47,2014-12-10,8866,등교;수면부족;멜라토닌;포도당
48,2014-12-31,10247,유레카;아르키메데스;뉴턴
0,2015-01-05,12091,쌍둥이;인공수정;복제인간;유전자
1,2015-01-14,4727,스키;스노보드;중력;마찰력
2,2015-01-19,11942,전자 담배;금연;니코틴
3,2015-01-21,9222,때;피부;각질;보습제
4,2015-03-02,4751,3D 프린터;인쇄;스트라티
5,2015-01-26,7490,사물 인터넷;센서;데이터
6,2015-01-28,4616,빅데이터;분석;웨어러블;컴퓨터
7,2015-02-02,8003,인격 장애;감정이입(공감);사이코패스;소시오패스
8,2015-02-04,11126,우유;락타아제;유당 불내증;낙농업
9,2015-02-09,4312,웨어러블컴퓨터;센서;배터리;피부
10,2015-02-11,7169,목도리;아웃도어;드라이클리닝
11,2015-02-16,8919,이코노미 클래스 증후군;혈전;심부정맥 혈전증
12,2015-03-04,4805,정월대보름;보름달;오곡밥;나물
13,2015-03-09,4782,소나무;재선충;한반도;멸종
14,2015-03-11,5963,회상;추억;무드셀라 증후군;
15,2015-03-16,5174,쥐;설치류;공룡;마이티마우스
16,2015-03-18,8959,사시;안구 건조증;녹내장;당뇨망막병증;백내장;황반변성
17,2015-04-06,4405,서머타임;표준시;오일쇼크;에너지절약;생체리듬
18,2015-04-08,5229,소금;한의학;면역력;항생제;세균;대식세포
19,2015-04-13,6219,박태환;네비도;테스토스테론;도핑;약물
20,2015-04-15,5544,봄;우울증;세로토닌;일조량;녹색잎채소
21,2015-04-20,5331,유네스코;체온;웨어러블;배터리;사물인터넷
22,2015-04-22,5565,강직성 척추염;관절염;류마티스;자가면역질환;허리디스크
23,2015-05-04,27512,담배;3차 흡연;니코틴;코티닌;간접흡연
24,2015-05-06,4511,비밀번호;생체인식;보안;지문;홍채
25,2015-05-13,5100,꽃가루;재채기;알레르기;비염;참나무;자작나무;소나무
26,2015-05-18,10427,아침형인간;저녁형인간;기상;수면;생체리듬
27,2015-05-20,11959,플라스틱;선박사고;해양쓰레기;생태계;미생물
28,2015-06-03,11464,새집증후군;환기;건축자재;공기질;베이크아웃
29,2015-06-08,3833,핀테크;결제;계정;전자금융;빅데이터
30,2015-06-10,4809,A형간염;백신;대변;항체;예방접종
31,2015-06-15,4040,백수오;이엽우피소;갱년기;여성호르몬;위약효과
32,2015-06-17,9440,커피;카페인;아라비카;건식법;습식법;코피루왁
33,2015-06-24,5476,메르스;코로나바이러스;RNA 바이러스;혈장치료;에어로졸
34,2015-11-30,4610,디젤;가솔린;질소산화물;폭스바겐;친환경;배기가스
35,2015-07-08,10924,배고픔;혈당;글리코겐;세로토닌;코르티솔;비만;엔돌핀
36,2015-07-13,10370,요리;음식;침팬지;먹방;영양;소화
37,2015-07-15,6134,리플리증후군;거짓말;망상;반사회적;인격장애
38,2015-07-20,4772,엘니뇨;가뭄;장마;찬홈;해일;한반도
39,2015-07-22,11304,쿨맥스;아스킨;쿨매트;냉감소재;상변환물질
40,2015-07-29,4323,천연두;종두법;지석영;에드워드제너;박영선;우두;인두법
41,2015-08-03,4532,명왕성;뉴호라이즌스호;보이저호;런치윈도우;왜소행성;카이퍼벨트
42,2015-08-05,5312,아프리카코끼리;후각수용체;OR유전자;야생코끼리
43,2015-08-12,5086,냉방병;감기;에어컨;환기;감염병;면역력
44,2015-08-17,5105,스트라디바리우스;소빙하기;흑점;오로라;마운더 극소기
45,2015-08-19,3325,폭염;열대야;태양열;복사열;한반도;열섬현상
46,2015-08-26,4331,다한증;땀;아포크린샘;아세틸콜린;염화알루미늄
47,2015-09-07,4847,지뢰;오타와 협약;국제지뢰금지운동;금속탐지기;비무장지대
48,2015-09-14,5221,조지 오웰;1984;텔레스크린;빅브라더;스마트폰;제국주의
49,2015-09-16,9150,체증;바늘;한의학;디아스타아제;페루오키시타제
50,2015-09-21,5411,코골이;수면무호흡;부정맥;뇌졸중;수면다원검사;양압호흡기
51,2015-10-07,4749,멸종위기종;정형행동;런던동물원;동물권;방추세포;도파민
52,2015-10-14,5370,독버섯;느타리버섯;화경버섯;싸리버섯과;신부전증;은수저
53,2015-10-21,4395,말벌;바다리;땅벌;맹독;아나필락시스;응급처치;면역체계
54,2015-11-02,3820,노벨상;말라리아;투유유;개똥쑥;아르테미신;흑파리;중성미자
55,2015-11-04,5750,우울증;계절성 정동장애;세로토닌;도파민;일조량;멜라토닌
56,2015-11-11,6003,스탠딩 워크;인슐린;글리코겐;리파아제;거북목;하지정맥류;스트레칭
57,2015-11-18,4002,통증;전자피부;박막센서;전자회로;신경세포;로봇
58,2015-11-25,4861,굴;카사노바;클레오파트라;정력;아연;테스토스테론;타우린
59,2015-12-09,3551,미세먼지;아궁이;편서풍;중국;배출가스;석탄 화력발전소
60,2015-12-14,3843,와이파이;비밀번호;무선공유기;온라인뱅킹;인터넷
61,2015-12-23,2871,시리;구글 나우;개인비서;동시통역;자비스;사만다
62,2015-12-28,2634,늙은 호박;구황식품;베타카로틴;호박씨;출산
63,2015-12-30,3999,동물실험;반려동물;탈리도마이드;라이카;오가노이드
0,2016-01-06,3005,불안장애;정신질환;뇌;전전두피질;편도체;정신과;텔로미어
1,2016-01-13,4324,노푸;대머리;두피;모공;베이킹소다;탈모
2,2016-01-20,2656,영장류;마카크 원숭이;붉은콜로부스원숭이;촌충;버빗 원숭이
3,2016-01-25,3025,체온;면역력;항상성;림프구;자율신경계;교감신경;부교감신경
4,2016-02-03,3259,질투;뇌;샤덴프로이데;배측전방대상피질;가식;본성
5,2016-02-08,3099,내비게이션;교통체증;알고리즘;교차로;지구자장;자율주행차
6,2016-02-10,3930,달리기;심폐지구력;성인병;러너스 하이;베타 엔도르핀;글리코겐
7,2016-02-22,3259,비타민D;칼슘;부갑상선호르몬;수지상세포;자가면역질환;알레르기
8,2016-03-07,3037,당;탄수화물;단순당;복합당;세로토닌;코르티솔
9,2016-03-09,4139,알파고;이세돌;바둑;딥러닝;딥마인드;인공지능
10,2016-03-14,2936,한우;마블링;포화지방산;올레인산;건식숙성;습식숙성
11,2016-03-16,1830,대만;아열대 기후;한파;저체온증;이상기후;역치
12,2016-03-21,2711,구구단;백제시대;목간;중국;삼국시대;일본
13,2016-03-23,2194,와인;프랑스;보르도;부르고뉴;테루아;필록세라;아오쎄
14,2016-04-04,3176,라쿠카라차;바퀴벌레;식중독;병원균;탄성;더듬이;크램
15,2016-04-13,2227,인공지능;알파고;딥러닝;뉴로모픽;양자컴퓨터;왓슨;소프트웨어
16,2016-04-11,2903,반려동물;링웜;백선증;기생충;옴진드기;톡소플라스
17,2016-04-18,2173,머리 이식;미세혈관;면역억제제;조셉 머레이;골수;키메리즘
18,2016-04-20,2662,근육;근력;근지구력;근원섬유;단백질;기초대사량
19,2016-05-02,2931,아이폰;잠금;모바일포렌식;셀레브라이트;안드로이드;낸드 미러링
20,2016-05-09,3522,아동기 기억상실;해마;신경세포;뇌;어린이;기억;불안장애
21,2016-05-11,3166,봄볕;기미;주근깨;멜라닌;자외선;진피층;자외선차단제
22,2016-05-18,2496,5월제;디오니소스;임신;태아;출산;빈혈;엽산;태아프로그래밍
23,2016-05-23,5005,아인슈타인;쌍둥이;마크 켈리;스콧 켈리;화성;텔로미어;국제우주정거장
24,2016-06-08,3605,매운맛;아드레날린;엔돌핀;스트레스;위염;오감;민감성
25,2016-06-13,2892,헌혈;동맥;정맥;혈액형;백혈구;적혈구;혈소판
26,2016-06-15,2656,화장;피부;파라벤;페녹시에탄올;트리클로산;피지;여드름
27,2016-06-20,2331,매트릭스;가상현실;원격현전;페이스북;오큘러스;증강현실
28,2016-06-27,2009,힉스입자;핵;표준모형;탑쿼크;가속기;검출기;입자빔;양성자
29,2016-07-13,2344,상괭이;한강;지느러미;고래;민물;기수역;혼획
30,2016-07-18,2364,정신과;조현병;망상;환각;음성증상;유병률
31,2016-07-20,2117,나방;춘천;폭염주의보;풀무치;동양하루살이;이상기후;열섬현상
32,2016-07-27,2376,백호;알비노;루시즘;돌연변이;몰티즈;근친교배;동물복지
33,2016-08-03,2239,생맥주;크림생맥주;거품;이산화탄소;발효;질소;스월링
34,2016-08-10,2416,바다 사막화;해조류;성게;광합성;저서생물;석회조류;지구온난화
35,2016-08-15,2088,공룡;멸종;주행성;화산 폭발;소행성 충돌;간상세포;원추세포
36,2016-08-22,2597,물;만성탈수;단백질;뇌;콜레스테롤;탄산음료;카페인
37,2016-08-31,2392,자궁경부암;인유두종 바이러스;가다실;서바릭스;복합부위통증증후군;기립성빈맥증후군
38,2016-09-12,1951,캄보디아;앙코르와트;프놈쿨렌;마헨드라파르바타;라이다;레이더
39,2016-09-07,2353,조선시대;수학;상명산법;천원술;세종대왕;명나라;구수략
40,2016-09-14,1737,사이배슬론;뇌파;자동차경주;로봇기술;뇌과학;로봇슈트;전동휠체어
41,2016-09-19,1816,호주;아프리카;알프레드 베게너;대륙이동설;판상;초대륙
42,2016-09-21,1597,야식;혈청 코티솔;스트레스;멜라토닌;렙틴;라면;치킨;피자
43,2016-09-26,1295,목성;주노;갈릴레오 탐사선;자기장;오로라;중력장;핵
44,2016-10-03,1459,웃음;거짓 경보;침팬지;보노보;영장류;유전자;진화심리학
45,2016-10-05,1549,오른손잡이;왼손잡이;좌뇌;우뇌;언어성 지능;동작성 지능
46,2016-10-12,1517,미세먼지;배기가스;화석연료;인공강우;드론;강우촉진제
47,2016-10-17,1385,지카바이러스;오가노이드;줄기세포;신경세포;체세포;유전자
48,2016-10-19,1364,맛;미각;생존;영장류;혀;노화;미각세포
49,2016-10-24,1417,내진설계;지진;경주;벽돌;철근콘크리트;지반;여진;
50,2016-10-26,1710,환절기;가려움증;피부장벽;각질;자유신경종말;세로토닌
51,2016-10-31,1807,인공난자;피부세포;배아;무성생식;체세포분열;불임;배아줄기세포
52,2016-11-09,1517,안경;근시;망막;백내장;스마트폰;도파민;안과
53,2016-11-14,1217,프록시마 b;골디락스;보이저 1호;프록시마 센타우리;페가수스;적색왜성
54,2016-11-16,1246,유방암;유두;여성형 유방;클라인펠터 증후군;여성호르몬;간
55,2016-11-21,968,스마트시티;사물인터넷;신흥국;선진국;밀리언 프로젝트
56,2016-11-30,797,다이아몬드;탄소;질소;카나리아;내포물;원석
